"category","subcategory","title","file_name","extension","suffix","applications","visibility","keywords","first_comment","relative_path","source_path","size_bytes","line_count"
"File","","ADS Converter 3","ADS Converter 3.bas","bas","","","","Boolean;Import;Port","","File\ADS Converter 3.bas","D:\CST\Library\Macros\File\ADS Converter 3.bas","2297","60"
"File","","ADS Converter 5","ADS Converter 5.bas","bas","","","","Arc;Import;Port","Define Substrate Dimensions","File\ADS Converter 5.bas","D:\CST\Library\Macros\File\ADS Converter 5.bas","1225","36"
"File","","Copy selected treename to Clipboard","Copy selected treename to Clipboard.mcr","mcr","","","","Port","*Get selected item path","File\Copy selected treename to Clipboard.mcr","D:\CST\Library\Macros\File\Copy selected treename to Clipboard.mcr","871","28"
"File","","CSTdebug-add","CSTdebug-add.reg","reg","","","","","","File\CSTdebug-add.reg","D:\CST\Library\Macros\File\CSTdebug-add.reg","457","16"
"File","","CSTdebug-remove","CSTdebug-remove.reg","reg","","","","","","File\CSTdebug-remove.reg","D:\CST\Library\Macros\File\CSTdebug-remove.reg","325","15"
"File","","Get Customer-ID and Host-ID","Get Customer-ID and Host-ID.mcr","mcr","","","","","*File / Get Customer-ID and Host-ID","File\Get Customer-ID and Host-ID.mcr","D:\CST\Library\Macros\File\Get Customer-ID and Host-ID.mcr","219","8"
"File","","Import ADS (Legacy)","Import ADS (Legacy)^-DS.mcs","mcs","-DS","DS","hidden/internal","Arc;Boolean;Boundary;DiscretePort;Import;Port;WaveguidePort","Import ADS Model","File\Import ADS (Legacy)^-DS.mcs","D:\CST\Library\Macros\File\Import ADS (Legacy)^-DS.mcs","7015","200"
"File","","Import and Export Optimizer Settings","Import and Export Optimizer Settings.mcr","mcr","","","","Boolean;Export;Import;Optimizer;Port;Solver","#Language ""WWB-COM""","File\Import and Export Optimizer Settings.mcr","D:\CST\Library\Macros\File\Import and Export Optimizer Settings.mcr","6146","216"
"File","","Import bas-file into history list","Import bas-file into history list^-DS.mcs","mcs","-DS","DS","hidden/internal","","","File\Import bas-file into history list^-DS.mcs","D:\CST\Library\Macros\File\Import bas-file into history list^-DS.mcs","1236","35"
"File","","Import Result Templates","Import Result Templates^-DS.mcr","mcr","-DS","DS","hidden/internal","Import;Port","#include ""vba_globals_all.lib""","File\Import Result Templates^-DS.mcr","D:\CST\Library\Macros\File\Import Result Templates^-DS.mcr","1172","22"
